food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready,variety_key,day,selected_portions,selected_gram
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True,"LN_tempe kedelai, mentah",4,1.0,50.0
DR004,"Andewi, segar",DABM-1964,"91,8",226,1.6,0.2,5.3,4.1,"1,1",33,66,1,29.0,414.6,"0,13",1,,1717,,"0,14","0,09","0,5",10.0,80,D,DR,S,Sayur,tkpi_main_group,"andewi, segar",andewi,andewi,1 gelas,1.0,gelas,100.0,False,False,False,False,226.0,1.6,0.2,5.3,29.0,414.6,33.0,4.1,False,True,"S_andewi, segar",4,1.0,100.0
DR138,"Rebung, segar",KZGMI-2001,"93,3",25,0.8,0.1,5.3,9.7,"0,5",3,5,"0,5",3.0,206.0,"0,1","0,4",,10,,"0,2","0,07","0,5",0.0,28,D,DR,S,Sayur,tkpi_main_group,"rebung, segar",rebung,rebung,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,0.8,0.1,5.3,3.0,206.0,3.0,9.7,False,True,"S_rebung, segar",4,2.0,200.0
ER023,"Durian, segar",DABM-1964,65,149,2.5,3.0,21.5,3.5,8,7,44,"1,3",1.0,601.0,"0,12","0,3",,146,175,"0,1","0,19","136,5",53.0,22,E,ER,B,Buah,tkpi_main_group,"durian, segar",durian,durian,2 biji besar,2.0,biji besar,35.0,False,True,False,False,52.15,0.875,1.05,7.525,0.35,210.35,2.45,1.225,False,True,"B_durian, segar",4,0.5,17.5
ER040,"Jeruk nipis, segar",KZGPI- 1990,89,44,0.5,0.2,10.0,0.4,"0,4",18,22,"0,2",3.0,108.9,"0,06","0,1",,23,4,"0,01","0,03","0,2",20.0,76,E,ER,B,Buah,tkpi_main_group,"jeruk nipis, segar",jeruk nipis,jeruk nipis,1 ½ gelas,1.5,gelas,135.0,False,True,False,False,59.4,0.675,0.27,13.5,4.05,147.015,24.3,0.54,False,True,"B_jeruk nipis, segar",4,1.0,135.0
ER048,"Kesemek, segar",DABM-1964,78,78,0.8,0.4,20.0,0.6,"0,6",6,26,"0,3",0.0,34.5,"0,13","0,1",,,2710,,,"0,1",11.0,97,E,ER,B,Buah,tkpi_main_group,"kesemek, segar",kesemek,kesemek,1 ½ buah,1.5,buah,65.0,False,True,False,False,50.7,0.52,0.26,13.0,0.0,22.425,3.9,0.39,False,True,"B_kesemek, segar",4,0.5,32.5
GR001,"Belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0.0,"2,1",49,155,"1,5",55.0,169.0,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,3.0,ekor,45.0,False,True,False,False,31.5,6.57,0.36,0.45,24.75,76.05,22.05,0.0,False,True,"LH_belut, segar",4,1.0,45.0
GR003,"Cumi-cumi, segar",KZGPI- 1990,"82,2",75,16.1,0.7,0.1,0.0,"0,9",32,200,"1,8",37.0,204.1,"1,6","1,3",0.0,20,0,"0,08",0,"2,5",0.0,,G,GR,LH,Lauk Hewani,tkpi_main_group,"cumi-cumi, segar",cumi-cumi,cumi-cumi,1 ekor kecil,1.0,ekor kecil,45.0,False,True,False,False,33.75,7.245000000000001,0.3149999999999999,0.045,16.65,91.845,14.4,0.0,False,True,LH_cumi,4,2.0,90.0
KR009,Minyak kacang tanah,DABM-1964,0,902,0.0,100.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kacang tanah,minyak kacang tanah,minyak kacang tanah,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,45.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kacang tanah,4,0.5,2.5
KR010,Minyak kedelai,FCTEA-1972,"0,1",883,0.0,99.9,0.0,0.0,0,0,0,0,0.0,0.1,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kedelai,minyak kedelai,minyak kedelai,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,44.15,0.0,4.995,0.0,0.0,0.005,0.0,0.0,False,True,M_minyak kedelai,4,1.5,7.5
KR011,Minyak kelapa,DABM-1964,0,870,1.0,98.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kelapa,minyak kelapa,minyak kelapa,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,43.5,0.05,4.9,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kelapa,4,1.0,5.0
AP006,"Bihun, mentah",DABM-1964,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,5.0,12.0,0.08,0.00,0.0,0,0,0,0.2,0.7,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,"bihun, mentah",bihun,bihun,1/2 Gelas,0.5,Gelas,50.0,True,True,True,False,174.0,2.35,0.05,41.05,2.5,6.0,3.0,0.6,False,True,MP_bihun,5,2.0,100.0
AP029,Biskuit,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,20.3,241.0,0.16,0.6,14.0,0,-,0.15,0.09,1.4,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,biskuit,biskuit,biskuit,4 Buah Besar,4.0,Buah Besar,40.0,True,True,False,False,183.2,2.76,5.76,30.04,8.12,96.4,24.8,0.84,False,True,MP_biskuit,5,2.0,80.0
CR018,"Kacang kedelai, segar",DABM-1964,20,286,30.2,15.6,30.1,2.9,"4,1",196,506,"6,9",28.0,870.9,"1,24","3,6",,,95,"0,93","0,26","1,8",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, segar",kacang kedelai,kacang kedelai,2 Sendok Makan,2.0,Sendok Makan,25.0,False,True,False,False,71.5,7.55,3.9,7.525,7.0,217.725,49.0,0.725,False,True,"LN_kacang kedelai, segar",5,0.5,12.5
CP037,Kembang tahu,KZGPI- 1990,"10,8",380,48.9,13.8,23.3,0.0,"3,2",378,781,"2,1",55.0,455.3,"0,68","4,2",,0,,"0,15","0,08","0,7",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,kembang tahu,kembang tahu,kembang tahu,1 Lembar,1.0,Lembar,20.0,True,True,True,False,76.0,9.78,2.76,4.66,11.0,91.06,75.6,0.0,False,True,LN_kembang tahu,5,0.5,10.0
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True,"LN_tempe kedelai, mentah",5,2.0,100.0
DR037,"Daun kedondong, segar",DABM-1964,81,59,3.5,0.3,13.4,10.7,"1,8",540,82,"6,2",12.1,579.0,,,,1624,2900,"0,06","0,2","1,5",29.0,65,D,DR,S,Sayur,tkpi_main_group,"daun kedondong, segar",daun kedondong,daun kedondong,1 gelas,1.0,gelas,100.0,False,False,False,False,59.0,3.5,0.3,13.4,12.1,579.0,540.0,10.7,False,True,"S_daun kedondong, segar",5,0.5,50.0
DR112,"Komak, segar",KZGMI-2001,"74,3",99,3.3,0.1,21.2,10.3,"1,1",50,99,"13,1",15.0,567.0,"0,2","0,6",,5,,"0,2","0,19","0,1",,80,D,DR,S,Sayur,tkpi_main_group,"komak, segar",komak,komak,1 gelas,1.0,gelas,100.0,False,False,False,False,99.0,3.3,0.1,21.2,15.0,567.0,50.0,10.3,False,True,"S_komak, segar",5,1.5,150.0
DR138,"Rebung, segar",KZGMI-2001,"93,3",25,0.8,0.1,5.3,9.7,"0,5",3,5,"0,5",3.0,206.0,"0,1","0,4",,10,,"0,2","0,07","0,5",0.0,28,D,DR,S,Sayur,tkpi_main_group,"rebung, segar",rebung,rebung,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,0.8,0.1,5.3,3.0,206.0,3.0,9.7,False,True,"S_rebung, segar",5,1.0,100.0
ER023,"Durian, segar",DABM-1964,65,149,2.5,3.0,21.5,3.5,8,7,44,"1,3",1.0,601.0,"0,12","0,3",,146,175,"0,1","0,19","136,5",53.0,22,E,ER,B,Buah,tkpi_main_group,"durian, segar",durian,durian,2 biji besar,2.0,biji besar,35.0,False,True,False,False,52.15,0.875,1.05,7.525,0.35,210.35,2.45,1.225,False,True,"B_durian, segar",5,1.0,35.0
ER065,"Markisa, segar",KZGPI- 1990,65,144,3.5,1.2,29.8,11.4,"0,8",27,203,"1,4",37.0,453.8,"0,11","0,1",0.0,969,691,"0,02","0,17",2,10.0,48,E,ER,B,Buah,tkpi_main_group,"markisa, segar",markisa,markisa,¾ buah sedang,0.75,buah sedang,35.0,False,True,False,False,50.4,1.225,0.42,10.43,12.95,158.83,9.45,3.99,False,True,"B_markisa, segar",5,1.0,35.0
FR024,"Sapi, daging, gemuk, segar",DABM-1964,60,273,17.5,22.0,0.0,0.0,"0,5",10,150,"2,6",93.0,267.0,"0,17","6,4",12.0,,,,,"7,3",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, gemuk, segar",daging sapi,"sapi, daging, gemuk",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,95.55,6.125,7.7,0.0,32.55,93.45,3.5,0.0,False,True,LH_daging_sapi,5,1.0,35.0
FR025,"Sapi, daging, kurus, segar",DABM-1964,69,174,19.6,10.0,0.0,0.0,"1,4",11,181,"2,9",83.0,489.0,"0,07","4,9",6.0,,,,,"1,2",0.0,100,F,FR,LH,Lauk Hewani,tkpi_main_group,"sapi, daging, kurus, segar",daging sapi,"sapi, daging, kurus",1 potong sedang,1.0,potong sedang,35.0,False,True,False,False,60.9,6.86,3.5,0.0,29.05,171.15,3.85,0.0,False,True,LH_daging_sapi,5,0.5,17.5
GR001,"Belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0.0,"2,1",49,155,"1,5",55.0,169.0,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,3.0,ekor,45.0,False,True,False,False,31.5,6.57,0.36,0.45,24.75,76.05,22.05,0.0,False,True,"LH_belut, segar",5,1.5,67.5
KR009,Minyak kacang tanah,DABM-1964,0,902,0.0,100.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kacang tanah,minyak kacang tanah,minyak kacang tanah,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,45.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kacang tanah,5,0.5,2.5
KR010,Minyak kedelai,FCTEA-1972,"0,1",883,0.0,99.9,0.0,0.0,0,0,0,0,0.0,0.1,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kedelai,minyak kedelai,minyak kedelai,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,44.15,0.0,4.995,0.0,0.0,0.005,0.0,0.0,False,True,M_minyak kedelai,5,0.5,2.5
KR011,Minyak kelapa,DABM-1964,0,870,1.0,98.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kelapa,minyak kelapa,minyak kelapa,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,43.5,0.05,4.9,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kelapa,5,1.0,5.0
KR014,Minyak zaitun,DABM- 1964,0,884,0.0,100.0,0.0,0.0,0,14,0,"1,2",7.0,0.0,0,0,,0,,0,0,5,,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak zaitun,minyak zaitun,minyak zaitun,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,44.2,0.0,5.0,0.0,0.35,0.0,0.7,0.0,False,True,M_minyak zaitun,5,1.0,5.0
AP020,"Makaroni, mentah",DABM-1964,11.7,353,8.7,0.4,78.7,4.9,2.5,20,80,0.3,5.0,0.0,0.28,1.4,0.0,-,-,0.10,0.13,2.2,0.0,100,A,AP,MP,Makanan Pokok,tkpi_main_group,"makaroni, mentah",makaroni,makaroni,1½ Gelas,1.5,Gelas,50.0,True,True,True,False,176.5,4.35,0.2,39.35,2.5,0.0,10.0,2.45,False,True,MP_makaroni,6,2.0,100.0
AP029,Biskuit,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,20.3,241.0,0.16,0.6,14.0,0,-,0.15,0.09,1.4,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,biskuit,biskuit,biskuit,4 Buah Besar,4.0,Buah Besar,40.0,True,True,False,False,183.2,2.76,5.76,30.04,8.12,96.4,24.8,0.84,False,True,MP_biskuit,6,2.0,80.0
CR018,"Kacang kedelai, segar",DABM-1964,20,286,30.2,15.6,30.1,2.9,"4,1",196,506,"6,9",28.0,870.9,"1,24","3,6",,,95,"0,93","0,26","1,8",,100,C,CR,LN,Lauk Nabati,tkpi_main_group,"kacang kedelai, segar",kacang kedelai,kacang kedelai,2 Sendok Makan,2.0,Sendok Makan,25.0,False,True,False,False,71.5,7.55,3.9,7.525,7.0,217.725,49.0,0.725,False,True,"LN_kacang kedelai, segar",6,0.5,12.5
CP061,"Tahu, mentah",KZGPI- 1990,"82,2",80,10.9,4.7,0.8,0.1,"1,4",223,183,"3,4",2.0,50.6,"0,19","0,8",,118,,"0,01","0,08","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tahu, mentah",tahu,tahu,2 Potong Sedang,2.0,Potong Sedang,100.0,True,True,True,False,80.0,10.9,4.7,0.8,2.0,50.6,223.0,0.1,False,True,"LN_tahu, mentah",6,0.5,50.0
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True,"LN_tempe kedelai, mentah",6,2.0,100.0
DR095,"Kabau, segar",KZGMI-2001,"67,2",130,6.7,0.3,25.2,2.9,"0,6",4,204,"0,5",1.0,397.8,"0,2","0,5",,165,,"0,8","0,1","0,3",16.0,95,D,DR,S,Sayur,tkpi_main_group,"kabau, segar",kabau,kabau,1 gelas,1.0,gelas,100.0,False,False,False,False,130.0,6.7,0.3,25.2,1.0,397.8,4.0,2.9,False,True,"S_kabau, segar",6,0.5,50.0
DR112,"Komak, segar",KZGMI-2001,"74,3",99,3.3,0.1,21.2,10.3,"1,1",50,99,"13,1",15.0,567.0,"0,2","0,6",,5,,"0,2","0,19","0,1",,80,D,DR,S,Sayur,tkpi_main_group,"komak, segar",komak,komak,1 gelas,1.0,gelas,100.0,False,False,False,False,99.0,3.3,0.1,21.2,15.0,567.0,50.0,10.3,False,True,"S_komak, segar",6,1.5,150.0
DR130,"Nangka muda, segar",DABM-1964,"85,4",57,2.0,0.4,11.3,8.3,"0,9",45,29,"0,5",1.1,246.5,"0,04","0,1",,21,25,"0,07","0,06","0,7",9.0,80,D,DR,S,Sayur,tkpi_main_group,"nangka muda, segar",nangka muda,nangka muda,1 gelas,1.0,gelas,100.0,False,False,False,False,57.0,2.0,0.4,11.3,1.1,246.5,45.0,8.3,False,True,S_nangka_muda,6,1.0,100.0
ER022,"Duku, segar",DABM-1964,82,63,1.0,0.2,16.1,4.3,"0,7",18,9,"0,9",2.0,149.0,"0,09","0,2",,0,0,"0,05","0,15","1,5",9.0,64,E,ER,B,Buah,tkpi_main_group,"duku, segar",duku,duku,14 buah sedang,14.0,buah sedang,80.0,False,True,False,False,50.4,0.8,0.16,12.88,1.6,119.2,14.4,3.44,False,True,B_duku,6,2.0,160.0
GR001,"Belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0.0,"2,1",49,155,"1,5",55.0,169.0,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,3.0,ekor,45.0,False,True,False,False,31.5,6.57,0.36,0.45,24.75,76.05,22.05,0.0,False,True,"LH_belut, segar",6,1.0,45.0
GR003,"Cumi-cumi, segar",KZGPI- 1990,"82,2",75,16.1,0.7,0.1,0.0,"0,9",32,200,"1,8",37.0,204.1,"1,6","1,3",0.0,20,0,"0,08",0,"2,5",0.0,,G,GR,LH,Lauk Hewani,tkpi_main_group,"cumi-cumi, segar",cumi-cumi,cumi-cumi,1 ekor kecil,1.0,ekor kecil,45.0,False,True,False,False,33.75,7.245000000000001,0.3149999999999999,0.045,16.65,91.845,14.4,0.0,False,True,LH_cumi,6,2.0,90.0
KR009,Minyak kacang tanah,DABM-1964,0,902,0.0,100.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kacang tanah,minyak kacang tanah,minyak kacang tanah,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,45.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kacang tanah,6,1.0,5.0
KR014,Minyak zaitun,DABM- 1964,0,884,0.0,100.0,0.0,0.0,0,14,0,"1,2",7.0,0.0,0,0,,0,,0,0,5,,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak zaitun,minyak zaitun,minyak zaitun,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,44.2,0.0,5.0,0.0,0.35,0.0,0.7,0.0,False,True,M_minyak zaitun,6,2.0,10.0
AP006,"Bihun, mentah",DABM-1964,12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,5.0,12.0,0.08,0.00,0.0,0,0,0,0.2,0.7,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,"bihun, mentah",bihun,bihun,1/2 Gelas,0.5,Gelas,50.0,True,True,True,False,174.0,2.35,0.05,41.05,2.5,6.0,3.0,0.6,False,True,MP_bihun,7,2.0,100.0
AP029,Biskuit,DABM-1964,2.2,458,6.9,14.4,75.1,2.1,1.4,62,87,2.7,20.3,241.0,0.16,0.6,14.0,0,-,0.15,0.09,1.4,100.0,0,A,AP,MP,Makanan Pokok,tkpi_main_group,biskuit,biskuit,biskuit,4 Buah Besar,4.0,Buah Besar,40.0,True,True,False,False,183.2,2.76,5.76,30.04,8.12,96.4,24.8,0.84,False,True,MP_biskuit,7,2.0,80.0
CP061,"Tahu, mentah",KZGPI- 1990,"82,2",80,10.9,4.7,0.8,0.1,"1,4",223,183,"3,4",2.0,50.6,"0,19","0,8",,118,,"0,01","0,08","0,1",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tahu, mentah",tahu,tahu,2 Potong Sedang,2.0,Potong Sedang,100.0,True,True,True,False,80.0,10.9,4.7,0.8,2.0,50.6,223.0,0.1,False,True,"LN_tahu, mentah",7,1.0,100.0
CP077,"Tempe kedelai, mentah",KZGPI- 1990,"55,3",201,20.8,8.8,13.5,1.4,"1,6",155,326,4,9.0,234.0,"0,57","1,7",,0,,"0,19","0,59","4,9",,100,C,CP,LN,Lauk Nabati,tkpi_main_group,"tempe kedelai, mentah",tempe kedelai,tempe kedelai,2 potong sedang,2.0,potong sedang,50.0,True,True,True,False,100.5,10.4,4.4,6.75,4.5,117.0,77.5,0.7,False,True,"LN_tempe kedelai, mentah",7,2.0,100.0
DR055,"Daun melinjo, segar",DABM-1964,"70,8",104,5.0,1.3,21.3,10.3,"1,6",219,82,"4,2",12.2,604.8,"0,4","0,6",,823,10000,"0,09",,,182.0,88,D,DR,S,Sayur,tkpi_main_group,"daun melinjo, segar",daun melinjo,daun melinjo,1 gelas,1.0,gelas,100.0,False,False,False,False,104.0,5.0,1.3,21.3,12.2,604.8,219.0,10.3,False,True,S_daun_melinjo,7,1.5,150.0
DR112,"Komak, segar",KZGMI-2001,"74,3",99,3.3,0.1,21.2,10.3,"1,1",50,99,"13,1",15.0,567.0,"0,2","0,6",,5,,"0,2","0,19","0,1",,80,D,DR,S,Sayur,tkpi_main_group,"komak, segar",komak,komak,1 gelas,1.0,gelas,100.0,False,False,False,False,99.0,3.3,0.1,21.2,15.0,567.0,50.0,10.3,False,True,"S_komak, segar",7,1.0,100.0
DR138,"Rebung, segar",KZGMI-2001,"93,3",25,0.8,0.1,5.3,9.7,"0,5",3,5,"0,5",3.0,206.0,"0,1","0,4",,10,,"0,2","0,07","0,5",0.0,28,D,DR,S,Sayur,tkpi_main_group,"rebung, segar",rebung,rebung,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,0.8,0.1,5.3,3.0,206.0,3.0,9.7,False,True,"S_rebung, segar",7,0.5,50.0
ER081,"Pisang kepok, segar",KZGMI-2001,72,109,0.8,0.5,26.3,5.7,1,10,30,"0,5",10.0,300.0,"0,1","0,2",,0,,"0,1",0,"0,1",9.0,75,E,ER,B,Buah,tkpi_main_group,"pisang kepok, segar",pisang kepok,pisang kepok,1 buah,1.0,buah,45.0,False,True,False,False,49.05,0.36,0.225,11.835,4.5,135.0,4.5,2.565,False,True,"B_pisang kepok, segar",7,2.0,90.0
GR001,"Belut, segar",KZGMI-2001,"81,5",70,14.6,0.8,1.0,0.0,"2,1",49,155,"1,5",55.0,169.0,"0,2","1,2",,0,,"0,22","0,12","7,7",,,G,GR,LH,Lauk Hewani,tkpi_main_group,"belut, segar",belut,belut,3 ekor,3.0,ekor,45.0,False,True,False,False,31.5,6.57,0.36,0.45,24.75,76.05,22.05,0.0,False,True,"LH_belut, segar",7,1.5,67.5
GR046,"Ikan mas, segar",DABM- 1964,80,86,16.0,2.0,0.0,0.0,2,20,150,2,65.0,276.7,"0,1","1,1",45.0,8,,"0,05","0,1","2,6",0.0,80,G,GR,LH,Lauk Hewani,tkpi_main_group,"ikan mas, segar",ikan mas,ikan mas,1/3 ekor sedang,0.3333333333333333,ekor sedang,45.0,False,True,False,False,38.7,7.2,0.9,0.0,29.25,124.515,9.0,0.0,False,True,"LH_ikan mas, segar",7,1.5,67.5
KR009,Minyak kacang tanah,DABM-1964,0,902,0.0,100.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kacang tanah,minyak kacang tanah,minyak kacang tanah,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,45.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kacang tanah,7,2.0,10.0
KR011,Minyak kelapa,DABM-1964,0,870,1.0,98.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,0.0,0,,0,0,0,0.0,100,K,KR,M,Minyak / Lemak,keyword_rule,minyak kelapa,minyak kelapa,minyak kelapa,1 sendok teh,1.0,sendok teh,5.0,False,True,False,False,43.5,0.05,4.9,0.0,0.0,0.0,0.0,0.0,False,True,M_minyak kelapa,7,1.0,5.0
